fecha,departamento,municipio,evento,codificacionsegundivipola,muertos,heridos,desapa,personas,familias,viviendasdestru,viviendasaver,vias,ptesvehic,ptepeat,acued,alcant,csalud,ceducat,ccomunit,hectareas,otros,subsidiodearriendo,fechatramiteadtivo,menajes,apaliment,materialesconst,sacos,otros1,transeconomicas,recejecutados
08/05/2012 12:00:00 AM,CUNDINAMARCA,COTA,INUNDACION,25214,,,,,,,,,,,,,,,,120,,,,0,0,0,0,,0,0
03/12/2013 12:00:00 AM,CUNDINAMARCA,CARMEN DE CARUPA,INCENDIO FORESTAL,25154,,,,,,,,,,,,,,,,1,,0,,0,0,0,0,,0,0
10/01/2013 12:00:00 AM,CASANARE,YOPAL,EXPLOSION,85001,2,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0
02/09/2013 12:00:00 AM,CALDAS,CHINCHINA,SISMO,,,,,5,1,,1,,,,,,,,,,,0,,0,0,0,0,,0,0
11/17/2011 12:00:00 AM,CAUCA,POPAYÁN,DESLIZAMIENTO,19001,,,,,,,,1,,,,,,,,,,,,0,0,0,0,,0,0
05/05/2009 12:00:00 AM,SANTANDER,ZAPATOCA,INUNDACION,68895,,,,550,110,,110,,,,,,,,,,,,,0,0,0,0,,,0
07/30/2013 12:00:00 AM,ARAUCA,ARAUQUITA,CONTAMINACION,81065,,20,,20,,,,,,,,,,,,,,0,,0,0,0,0,,0,0
09/20/2008 12:00:00 AM,NORTE DE SANTANDER,PUERTO SANTANDER,VENDAVAL,54553,,,,180,36,,36,,,,,,,,,,,,39749,0,0,5298300,0,,,5298300
02/10/2012 12:00:00 AM,TOLIMA,COELLO,INUNDACION,73200,,,,15,3,,3,,,,,,,,,,,,,0,0,0,0,,0,0
09/10/2011 12:00:00 AM,TOLIMA,IBAGUÉ,VENDAVAL,73001,,,,55,11,,11,,,,,,,,,,,,,0,0,0,0,,0,0
10/10/2012 12:00:00 AM,ANTIOQUIA,SALGAR,VENDAVAL,05642,,,,300,60,,60,,,,,,,,,,,,,0,0,0,0,,0,0
02/06/2009 12:00:00 AM,SUCRE,SAN LUIS DE SINCÉ,VENDAVAL,70742,,,,95,19,,19,,,,,,,,,,,,40193,0,0,3300000,0,,,3300000
04/25/2011 12:00:00 AM,CASANARE,PAZ DE ARIPORO,INUNDACION,85250,,,,3110,622,,622,,,,,,,,,,,,,0,0,0,0,,0,0
04/19/1999 12:00:00 AM,NARIÑO,TAMINANGO,DESLIZAMIENTO,52786,,,,65,15,3,12,,,,,,,,,,,,36277,1661455.95,309000,402009.6,,,,2372465.55
10/03/2010 12:00:00 AM,CHOCÓ,JURADÓ,INUNDACION,27372,,,,1000,200,,,,,,,,,,,515,PERDIDA DE CULTIVOS DE POPOCHO . BANANO PLATANO. YUCA. CAÑA Y MAIZ. PERDIDA DE ANIMALES DE CORRAL.,,40533,0,29748761,0,0,,0,29748761
05/29/2002 12:00:00 AM,META,SAN CARLOS DE GUAROA,INUNDACION,50680,,,,175,36,,27,2,,,,,,,,,,,,0,0,0,0,,,0
08/03/2012 12:00:00 AM,SUCRE,SAN BENITO ABAD,VENDAVAL,70678,,,,160,38,,38,,,,,,,,,,,,,0,0,72914002.84,0,,0,72914002.84
02/27/2011 12:00:00 AM,BOLÍVAR,MAGANGUÉ,VENDAVAL,13430,,,,5385,1077,5,122,,,,,,,,,,,,,0,0,0,0,,0,0
04/13/2011 12:00:00 AM,CUNDINAMARCA,VIOTÁ,DESLIZAMIENTO,25878,,,,300,60,,,,,,1,,,,,100,,,,0,0,0,0,,0,0
07/29/2012 12:00:00 AM,CASANARE,NUNCHÍA,INUNDACION,85225,,,,2135,427,,427,,,,,,,,,,,,,0,0,0,0,,0,0
05/12/2012 12:00:00 AM,ANTIOQUIA,LA PINTADA,DESLIZAMIENTO,05390,2,,,,,2,,1,,,,,,,,,,,,0,0,0,0,,0,0
08/15/2013 12:00:00 AM,PUTUMAYO,MOCOA,DESLIZAMIENTO,86001,,,,20,4,,4,1,,,,,,,,,,0,,0,0,0,0,,0,0
12/15/2010 12:00:00 AM,META,PUERTO CONCORDIA,INUNDACION,50450,,,,847,197,,197,2,,,,,,,,,PERDIDA DE CULTIVOS,,,0,0,0,0,,0,0
10/31/2006 12:00:00 AM,BOGOTÁ. D.C.,BOGOTÁ. D.C.,VENDAVAL,11001,,,,275,60,,60,,,,,,,,,,,,,0,0,0,0,,,0
02/12/2012 12:00:00 AM,CUNDINAMARCA,LA VEGA,VENDAVAL,25402,,,,55,15,2,13,,,,,,,,,,,,,0,0,0,0,,0,0
06/18/2011 12:00:00 AM,RISARALDA,BELÉN DE UMBRÍA,VENDAVAL,66088,,,,20,5,,5,,,,,,,,,,,,,0,0,0,0,,0,0
02/22/2013 12:00:00 AM,CASANARE,PAZ DE ARIPORO,INCENDIO FORESTAL,85250,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0
09/19/2011 12:00:00 AM,LA GUAJIRA,FONSECA,INUNDACION,44279,,,,1540,308,,308,,,,,,,,,,,,,0,0,0,0,,0,0
